"","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"IRL",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0
"ITA",0,0,0,4,0,0,4,2,1,3,2,4,3,2,1,2,2,0,3,0,1,3,1,2,0
"JAM",0,0,0,0,0,0,0,0,0,0,2,4,0,5,2,3,4,3,0,0,0,5,0,4,0
"JPN",0,0,0,2,3,4,2,3,5,3,3,2,2,1,3,2,2,2,3,2,3,4,1,4,0
"JOR",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZ",0,0,0,2,2,0,5,2,2,2,3,0,4,2,4,2,0,4,1,4,4,3,1,3,0
"KEN",0,0,0,6,0,6,0,3,6,0,2,3,0,6,6,5,0,6,0,6,6,5,0,6,0
"KIR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"PRK",0,0,0,0,6,2,4,4,4,5,5,3,0,2,4,3,6,0,0,4,4,6,5,0,0
"KOR",0,0,0,2,1,4,1,2,2,4,1,2,4,3,2,2,1,2,2,2,2,3,0,2,0
"KWT",0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
"KGZ",0,0,0,0,1,0,0,3,0,0,0,0,0,0,3,4,0,3,6,2,0,4,0,0,0
"LAO",0,0,0,5,6,5,0,1,4,3,5,5,0,0,0,0,0,5,1,0,5,0,5,0,0
"LVA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"LBN",0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,2,0,2,1,0,0,0,0,0
"LSO",0,0,0,0,0,2,0,0,3,3,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0
"LBR",0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,4,0,2,0,0,0,1,0,0
"LBY",0,0,0,0,1,1,0,0,0,2,0,1,0,2,0,0,0,0,2,2,2,1,3,1,0
"LTU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"MKD",0,0,0,0,3,0,0,0,0,1,1,3,2,1,0,0,6,0,0,0,0,0,3,3,0
"MDG",0,0,0,0,0,0,1,4,0,5,0,0,2,2,4,2,1,0,2,6,0,4,0,4,0
"MWI",0,0,0,0,2,0,2,2,3,1,4,6,3,2,6,3,5,4,4,4,4,6,4,4,0
"MYS",0,0,0,1,1,2,3,3,3,3,4,0,4,3,4,5,4,3,3,2,2,0,4,6,0
"MDV",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0
"MLI",0,0,0,0,0,3,3,3,3,2,1,4,4,2,6,4,0,3,4,5,6,0,2,1,0
"MLT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0
"MHL",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0
"MTQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRT",0,0,0,2,2,1,4,2,2,1,6,4,4,1,1,3,1,0,4,5,5,2,3,0,0
"MUS",0,0,0,3,0,1,0,0,1,0,0,3,0,0,3,0,1,0,0,0,1,0,2,0,0
"MYT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEX",0,0,0,2,4,1,1,1,4,4,3,5,3,2,3,1,0,2,1,1,6,4,4,4,0
"FSM",0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,1,0,0,0,0,0,0,0
"MDA",0,0,0,4,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNG",0,0,0,0,0,3,0,0,0,5,5,2,0,0,0,0,0,0,5,0,0,0,0,0,0
"MNE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,2,2,0,0
"MSR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAR",0,0,0,1,2,4,0,0,5,0,2,0,0,4,0,0,1,4,0,0,0,2,0,5,0
"MOZ",0,0,0,6,0,1,2,1,4,2,5,3,5,2,6,3,5,5,4,5,2,3,2,3,0
"Moz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,3,4,0,1,2,4,0,3,4,0,2,2,4,1,6,1,2,2,3,4,4,0
"NAM",0,0,0,0,5,0,0,4,0,2,1,5,4,4,0,2,2,2,5,5,5,2,5,0,0
"NPL",0,0,0,0,4,3,0,4,4,2,0,5,0,2,2,5,2,2,5,0,0,3,4,1,0
"NLD",0,0,0,0,2,2,2,1,2,3,2,0,1,0,0,1,0,1,0,1,0,1,0,0,0
"ANT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCL",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"NZL",0,0,0,0,0,3,2,2,0,0,0,0,0,3,0,3,2,0,0,2,0,0,0,0,0
"NIC",0,0,0,4,3,1,5,2,3,1,5,4,0,0,4,2,4,4,3,2,5,4,3,2,0
"NER",0,0,0,0,4,3,0,1,2,0,6,2,4,2,6,2,4,2,6,2,6,2,4,3,0
"NGA",0,0,0,1,1,4,1,1,4,0,0,3,2,1,1,1,2,2,0,4,2,2,1,4,0
"NIU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNP",0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
"NOR",0,0,0,1,3,1,1,0,1,2,3,0,0,2,1,0,0,2,0,0,2,0,0,0,0
"OMN",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,1,2,0,0,0,0
"PAK",0,0,0,0,5,2,5,2,6,0,0,5,6,4,0,0,6,0,0,6,6,6,5,6,0
"PLW",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PSE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"PAN",0,0,0,1,0,0,0,0,2,3,2,0,0,0,3,3,0,4,0,0,0,3,0,2,0
"PNG",0,0,0,1,0,0,5,0,0,3,3,0,2,3,3,0,5,4,0,0,2,5,0,4,0
"PRY",0,0,0,0,5,0,4,0,4,0,0,4,0,2,4,5,5,4,5,4,3,6,4,5,0
"PER",0,0,0,2,1,1,2,3,5,2,3,4,2,1,2,1,2,2,5,4,5,4,2,5,0
"PHL",0,0,0,4,4,3,5,6,4,1,4,1,4,1,2,5,1,4,5,6,2,4,2,4,0
"POL",0,0,0,2,1,0,5,3,1,1,1,1,0,0,1,0,0,1,1,5,1,1,2,2,0
"PRT",0,0,0,0,0,3,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"PRI",0,0,0,1,0,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"QAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"REU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROU",0,0,0,1,3,2,2,3,3,1,1,2,2,4,2,2,1,2,1,2,0,3,3,1,0
"RUS",0,0,0,3,1,4,2,1,2,2,1,4,6,3,2,2,1,2,2,1,2,1,1,2,0
"RWA",0,0,0,0,0,4,0,1,5,0,0,2,6,0,0,3,3,4,0,1,3,4,0,0,0
"WSM",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,4,0,0,0
"STP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
"SAU",0,0,0,1,0,0,3,2,1,2,2,2,2,2,1,1,2,2,4,2,2,2,2,2,0
"SEN",0,0,0,4,3,0,2,1,4,1,2,5,2,2,4,2,3,4,5,4,5,4,5,5,0
"SRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,4,3,3,0
"SCG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYC",0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0
"SLE",0,0,0,0,0,2,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"SGP",0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVK",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0
"SVN",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,4,0,3,0
"SLB",0,0,0,0,0,0,1,2,0,0,0,3,2,0,0,0,3,1,3,2,1,3,3,4,0
"SOM",0,0,0,4,3,0,1,3,6,5,2,1,2,5,1,2,1,6,3,6,6,2,4,5,0
"ZAF",0,0,0,2,5,2,2,2,1,2,2,2,2,6,2,2,2,2,2,3,2,1,2,2,0
"SSD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0
